filename,width,height,class,xmin,ymin,xmax,ymax
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000223.jpg,500,319,hand,265,101,281,118
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000223.jpg,500,319,hand,249,101,265,116
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000223.jpg,500,319,head,256,147,279,174
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000223.jpg,500,319,person,229,99,318,311
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,foot,245,357,286,398
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,foot,74,354,124,406
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,hand,228,314,303,365
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,hand,58,307,130,367
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,hand,146,134,193,157
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,hand,211,158,242,203
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,head,129,150,210,267
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,head,147,77,212,149
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,person,54,151,331,500
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000407.jpg,375,500,person,75,74,286,407
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,foot,164,334,185,355
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,hand,193,229,210,244
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,head,149,82,184,131
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,head,219,122,258,166
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,person,23,78,157,467
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,person,117,82,221,353
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000475.jpg,333,500,person,188,120,291,409
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000510.jpg,500,333,foot,116,185,145,210
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000510.jpg,500,333,hand,296,71,316,91
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000510.jpg,500,333,hand,140,74,171,97
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000510.jpg,500,333,head,267,47,299,87
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000510.jpg,500,333,person,114,46,319,285
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,foot,131,271,157,295
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,foot,151,269,178,294
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,foot,194,259,216,277
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,hand,119,196,135,218
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,hand,166,145,179,159
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,hand,186,171,209,191
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,head,114,92,142,127
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,head,168,56,196,86
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,person,221,16,302,274
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,person,90,89,179,296
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000535.jpg,500,333,person,157,50,220,277
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000558.jpg,500,375,hand,330,370,344,375
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000558.jpg,500,375,hand,349,370,359,375
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000558.jpg,500,375,head,330,245,344,263
C:\Users\Alexw\OneDrive\Desktop\uni\Applied Machine Learning\Coursework2\datasets\train_test_images\test\2008_000558.jpg,500,375,person,315,239,367,375
